30,31,30,31,31,31,30,31,31,30,31,31,30,31,31,31,30,31,31,30,31,31,30,31,32
40,41,40,41,41,41,40,41,41,40,41,41,40,41,41,41,40,41,41,40,41,41,40,41,42
50,51,50,51,51,51,50,51,51,50,51,51,50,51,51,51,50,51,51,50,51,51,50,51,52
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3
13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13
1,1,1,1,1,1,1,1,1,1,1,2,3,4,0,1,1,1,1,1,1,1,1,1,1
21,21,21,21,21,21,21,21,21,21,21,22,13,14,20,21,21,21,21,21,21,21,21,21,21
30,31,32,30,31,32,30,31,32,30,31,32,23,24,30,30,31,30,31,32,30,31,30,31,32
40,41,42,40,41,42,40,41,42,40,41,42,3,4,40,40,41,40,41,42,40,41,40,41,42
50,51,52,50,51,52,50,51,52,50,51,52,13,14,50,50,51,50,51,52,50,51,50,51,52
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3
13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13
23,24,25,23,24,25,23,24,3,4,5,25,23,24,25,3,4,5,23,24,25,23,24,25,23
0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,13,14,15,0,1,2,3,4,5,0
20,21,22,13,14,15,20,21,22,13,14,15,20,21,22,23,24,25,20,21,22,13,14,15,20
30,31,32,23,24,25,30,31,32,23,24,25,30,31,32,3,4,5,30,31,32,23,24,25,30
40,41,42,3,4,5,40,41,42,3,4,5,40,41,42,13,14,15,40,41,42,3,4,5,40
50,51,52,13,14,15,50,51,52,13,14,15,50,51,52,23,24,25,50,51,52,13,14,15,50
3,4,5,3,4,5,3,4,5,23,24,25,3,4,5,3,4,5,3,4,5,23,3,4,5
3,4,5,3,4,5,3,4,5,3,4,3,4,5,4,5,5,3,3,4,5,3,3,4,5
