0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
10,33,21,21,21,21,21,21,21,34,33,21,21,21,34,33,21,21,21,21,21,21,21,34,12
10,12,30,32,30,32,30,31,32,10,12,30,31,32,10,12,30,31,31,32,30,31,32,10,12
10,12,40,42,40,42,40,41,42,10,12,40,41,42,10,12,40,41,41,42,40,41,42,10,12
10,12,50,52,50,52,50,51,52,10,12,50,51,52,10,12,50,51,51,52,50,51,52,10,12
10,12,3,4,4,4,4,4,5,10,12,3,4,5,10,12,3,4,4,4,4,4,5,10,12
10,12,13,14,14,14,14,14,15,10,12,13,14,15,10,12,13,14,14,14,14,14,15,10,12
20,22,13,14,14,14,14,14,15,10,12,13,14,15,20,22,13,14,14,14,14,14,15,10,12
30,32,13,14,14,14,14,14,15,10,12,13,14,15,30,32,13,14,14,14,14,14,15,10,12
40,42,13,14,14,14,14,14,15,10,12,13,14,15,40,42,13,14,14,14,14,14,15,10,12
50,52,13,14,14,14,14,14,15,10,12,13,14,15,50,52,13,14,14,14,14,14,15,10,12
4,4,14,14,14,14,14,14,15,20,22,13,14,14,4,4,14,14,14,0,1,1,1,44,12
14,14,14,14,14,14,14,14,15,30,32,13,14,14,14,14,14,14,14,20,21,21,21,21,22
14,14,14,14,14,14,14,14,15,40,42,13,14,14,14,14,14,14,14,30,31,32,30,31,32
14,14,14,14,14,14,14,14,15,50,52,13,14,14,14,14,14,14,14,40,41,42,40,41,42
14,14,0,2,14,14,14,14,14,4,4,14,14,14,14,14,14,14,14,50,51,52,50,51,52
14,14,10,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4,4,4,4,4,4
14,14,10,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,10,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,1,44,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
