10,11,12,30,31,32,10,11,11,11,11,12,30,31,32,10,11,11,11,11,12,30,31,31,0
10,11,12,40,41,42,10,11,11,11,11,12,40,41,42,10,11,11,11,11,12,40,41,41,10
20,21,22,50,51,52,20,21,21,21,21,22,50,51,52,20,21,21,21,21,22,50,51,51,20
30,31,32,3,4,5,30,31,31,31,31,32,3,4,5,30,31,31,31,31,32,3,4,5,30
40,41,42,13,14,15,40,41,41,41,41,42,13,14,15,40,41,41,41,41,42,13,14,15,40
50,51,52,23,24,25,50,51,51,51,51,52,23,24,25,50,51,51,51,51,52,23,24,25,50
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3
13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13
23,24,25,23,24,25,23,24,25,23,24,25,23,24,25,23,24,25,23,24,25,23,24,25,23
3,4,5,3,4,5,0,1,1,1,1,1,1,1,1,1,1,1,2,4,5,3,4,5,3
13,14,15,13,14,15,10,11,11,11,11,11,11,11,11,11,11,11,12,14,15,13,14,15,13
23,24,25,23,24,25,10,11,11,0,1,1,1,1,1,2,11,11,12,24,25,23,24,25,23
0,1,2,3,4,5,10,11,12,30,31,31,31,31,31,32,10,11,12,3,4,5,0,1,2
10,11,12,13,14,15,10,11,12,40,41,41,41,41,41,42,10,11,12,13,14,15,10,11,12
20,21,22,23,24,25,20,21,22,50,51,51,51,51,51,52,10,21,22,23,24,25,20,21,22
30,31,32,3,4,5,30,31,31,3,4,5,5,3,4,5,31,31,32,3,4,5,30,31,32
40,41,42,13,14,15,40,41,41,13,14,15,15,13,14,15,41,41,42,13,14,15,40,41,42
50,51,52,23,24,25,50,51,51,23,24,25,25,23,24,25,51,51,52,23,24,25,50,51,52
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3
13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13,14,15,13
